Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RP11-119B16.2,15.551773165804,-1.09897530620212,0.495925964044537,-2.21600679512602,0.0266910367728542,0.0391653561901081
PANK2,1111.60105042869,-0.172652354698615,0.0919560516887054,-1.87755293455929,0.0604423494360549,0.0834931948744259
RP4-681N20.5,19.2154154247591,1.17628472077309,0.613706476662409,1.91668943624355,0.0552773981028543,0.0768918386431048
RNF24,1530.20556107243,-1.06802917830184,0.258140268197005,-4.13739857698896,0.0000351265632382397,0.0000757679862378429
FTLP3,635.278829037394,-0.593039471899479,0.423906335997184,-1.39898704392901,0.161816868293243,0.20461403076553
SMOX,587.376910585012,-0.29856924805615,0.29914866281626,-0.998063121009283,0.318248751640953,0.376077312271848
ADRA1D,60.5644535152638,3.97701429044959,0.966167874188848,4.1162766809945,0.0000385042048443857,0.0000826519694801062
RPS4XP2,10.0765190208558,-0.742790161667926,0.642435250039335,-1.15621015755665,0.247595206044617,0.30040461456498
PRNP,2325.34633020702,-2.44813350728771,0.418450498401503,-5.85047339324407,0.00000000490175873961029,0.0000000154972666145928
PRND,156.972056474754,0.39401974732417,1.13496447209906,0.34716482939369,0.728467491638081,0.771171631939782
RASSF2,2317.47208021104,-3.25385962281941,0.385686721654553,-8.43653525032107,0.0000000000000000326883121530549,0.000000000000000190661413259336
SLC23A2,1562.39693784339,-0.516571089850428,0.346487919290543,-1.49087763552663,0.135993624049476,0.174729462458262
RP5-1116H23.3,8.23829931659084,-0.870234197900354,1.00929052631853,-0.862223686052625,0.388564437930985,0.448314451668816
TMEM230,2303.80228564228,-0.784257155377275,0.221591722717634,-3.53919878305483,0.000401343508779153,0.000761348600425084
PCNA,4157.07566362847,2.16110527820168,0.278122044203567,7.77034874883883,0.00000000000000782703241207008,0.0000000000000381487268226902
CDS2,3405.81828454188,-0.584328591739793,0.199870081996025,-2.92354206244542,0.00346073464436091,0.00580073897087128
UBE2D3P1,110.84987591718,-0.672076462757535,0.292025137585628,-2.30143359682681,0.0213671347219821,0.0317977703604104
PROKR2,22.5916087834385,6.32220968647336,1.21145438226038,5.21869397564697,0.000000180189200275023,0.000000495119493057443
LINC00654,126.899045612607,1.08420467432456,0.497697586745139,2.17844069008869,0.0293732433083996,0.0427770941538195
GPCPD1,1288.26053808086,-3.54834872954722,0.330515495273928,-10.735801438315,0.00000000000000000000000000691166236260496,0.0000000000000000000000000735300116249371
C20orf196,133.495530819241,-1.39891282451056,0.230345811514512,-6.07309859603167,0.00000000125465366663908,0.00000000417479934141352
CHGB,634.310398299956,3.66790048826508,0.618572857125414,5.92961758023182,0.00000000303641017292676,0.00000000975616169705914
